"ID","X","Y","pH","OM","P","K","Mg","Ca","Al","NO_3","EC","Elev"
"1",28.7302584445334,626.367518345435,5.7,2.7,70,480,900,4400,1100,22.08,25.25,1.019352
"2",48.2522760881755,626.6902389987,6,4,200,820,660,5700,1110,53.04,23.8,1.2630043
"3",68.8018533526972,626.44411649269,6.3,1.9,60,450,568,5700,1080,13.14,12.5,1.0853233
"4",88.8320596608744,627.467407924729,6.1,2.5,105,420,550,5200,1090,37.5,20.1,1.8479729
"5",107.814243662178,628.362440659728,5.9,1.6,40,420,430,5300,1140,15.24,25.65,1.7201958
"6",127.590867605591,628.221707146837,6,2.7,140,270,330,3900,1110,32.71,10,2.1812668
"7",148.022653621862,628.564443597867,6.4,1.7,105,270,475,3200,840,24.06,10.9,2.0848198
"8",168.369733835137,628.840605928885,6.1,2.6,170,400,360,3600,1120,40.84,12,2.6876831
"9",187.143676711047,629.45179338529,5.6,3,175,470,210,2700,1370,48.08,11.675,2.7311478
"10",37.442250932833,605.633763179978,5.9,3,150,770,810,5300,1070,18.15,13.45,1.3716202
"11",56.2144107592631,607.27629816529,6,2.5,90,600,560,4700,1010,28.18,14.6,1.205925
"12",78.7486302071468,607.274808318267,6.1,2,100,515,570,4800,1060,20.88,11.25,1.8167343
"13",99.2687068815672,606.702353331947,6.1,2.4,215,610,330,3700,1160,13.25,15.6,1.9105301
"14",116.74033173013,605.403042569016,6.2,2.6,150,340,440,4200,1180,26.1,9.2,2.1749229
"15",138.189225202131,604.994617049654,5.6,2.8,190,550,270,2700,1350,64.21,8.3,2.2877083
"16",158.07902977748,605.169665995388,6.1,3,140,360,430,3600,1250,39.83,13.2,2.5690689
"17",178.938059562528,604.357039669543,6.1,2.8,180,550,360,3400,1260,37.16,12.85,2.9020271
"18",197.097301334017,605.124074944979,6,1.9,120,350,370,2800,1090,26.95,8.95,2.7461739
"19",27.0064508739266,584.979560046003,5.9,2,60,440,493.75,5600,1260,15.72,15.1,1.2729263
"20",48.0883013777474,585.846918591047,6.2,2.4,135,850,410,4500,1110,30.17,10.7,1.5832901
